Tom is ill.	汤姆生病了。
They moved ahead slowly.	他們慢慢地向前進。
There are many people in the park.	公园里有很多人。
I solved the problem easily.	我很容易地解決了這個問題。
Nobody watches her.	谁也没在看她。
Please come back as soon as possible.	请尽快回来。
He was caught cheating in the exam.	他在考試中作弊時被抓到了。
I want to lose weight.	我想减肥。
Please reconsider.	请重新考虑一下。
There are two zeros in the number "2010."	2010这个数字里有两个零。
I need to go to the toilet.	我要去廁所。
What kind of person is she?	她是怎样的人呢？
I don't need you or anybody else.	我不需要你或别的人。
Is it true that Tom can't read or write?	汤姆真的不会读也不会写吗？
Tom has made a big mistake.	汤姆犯了个大失误。
May I open the window?	可以开窗吗？
Tom is a rabbi.	汤姆是个拉比。
English is spoken in Singapore.	在新加坡的人說英語。
Did you get up early?	你起床早嗎？
May I ask some questions?	我可以問一些問題嗎?
I know that you've been waiting a long time, but could you wait just a little bit longer?	我知道你已经等很久了，但你能再等一小会吗？
I so wanted to believe that.	我很想相信。
I will go to Hokkaido tomorrow.	我明天要去北海道。
Tom was at school all day.	汤姆一整天都在学校。
This hall can hold 5,000 people.	这个大厅可以容纳5000个人。
Tom is very good at doing things with his hands.	汤姆善于动手做事。
It was already very late.	天色已晚。
It's me.	是我。
Outside the school, she saw people with no homes living in cardboard boxes.	她在校外见到没有家的人住在纸板箱里。
When he feels fine, he goes for a walk.	当他感到舒服时，他去散步。
He writes Arabic.	他写阿拉伯文。
How did you meet Tom?	你是怎麼見到湯姆的？
He will be busy tomorrow.	他明天會很忙。
Guess what happened to me.	猜猜我遇到什么事了！
English and German are two related languages.	英語和德語是兩種相關的語言。
What's for breakfast?	早饭吃什么？
Quit gambling.	戒掉赌博吧。
Those are their books.	这是他们的书。
She broke the window on purpose.	她故意把窗戶弄壞了。
Pay the cashier on the way out.	在出口處的收银台付款。
I am four months pregnant.	我怀孕四个月了。
She always studies while listening to music.	她總是邊聽音樂邊唸書。
I've never been this happy before.	我从未这么高兴。
Who is the girl standing over there?	站在那儿的女孩是谁？
His father is an impostor.	他爸爸是个骗子。
The family ate dinner together.	家裡人一起吃了晚飯。
The dog walked across the street.	這隻狗穿過街道。
What are you up to these days?	最近在干些什么？
Will you wait a moment?	麻煩您稍待一下。
I asked him to go there tomorrow.	我要求他明天去那裡。
Don't you think so?	你不这么认为吗？
We want further information.	我们想要更多信息。
I thank you from the bottom of my heart.	我打心底里感激你。
Why do you need to read such a book?	为什么你要读这样一本书？
You can't use this washing machine.	您不能使用這台洗衣機。
I don't procrastinate as much as I used to.	我不像我以前那么拖延了。
